financial_year,reporting_period,month,organisation,org_code,org_name,region_code,region_name,sas_ordinary_elective,sas_daycase_elective,sas_elective_total,sas_non_elective,sas_first_attendances_GP_ref,sas_first_attendances_other_ref,sas_first_attendances_total,sas_first_attendances_DNA,sas_subsequent_attendances_seen,sas_subsequent_attendances_DNA,as_ordinary_elective,as_daycase_elective,as_elective_total,as_non_elective,as_first_attendances_GP_ref,as_first_attendances_other_ref,as_first_attendances_total,as_first_attendances_DNA,as_subsequent_attendances_seen,as_subsequent_attendances_DNA
2018-19,14,Apr-18,National,All,NA,NA,NA,109226,579543,688769,555711,971214,846413,1817627,140602,3578180,293887,112193,580161,692354,676084,1194643,1217914,2412557,187256,5303072,431332
2018-19,14,May-18,National,All,NA,NA,NA,122568,622131,744699,589739,1059736,922519,1982255,157126,3819303,320351,125743,622875,748618,717675,1295120,1318826,2613946,207427,5655653,466285
2018-19,14,Jun-18,National,All,NA,NA,NA,122302,607685,729987,570030,1020700,903571,1924271,154650,3685044,314159,125672,608308,733980,693787,1247784,1286721,2534505,203966,5451285,454895
2018-19,14,Jul-18,National,All,NA,NA,NA,120465,620901,741366,582792,1032027,917521,1949548,163024,3747330,323642,123844,621751,745595,710780,1262835,1315650,2578485,216078,5562542,471612
2018-19,14,Aug-18,National,All,NA,NA,NA,116189,601937,718126,574574,969359,865219,1834578,152793,3547863,303223,119520,602709,722229,700600,1188827,1245062,2433889,203845,5298761,444776
2018-19,14,Sep-18,National,All,NA,NA,NA,115790,575060,690850,558829,969027,856991,1826018,152439,3539619,303037,119053,575790,694843,683168,1182724,1223105,2405829,201336,5193279,437270
2018-19,14,Oct-18,National,All,NA,NA,NA,126010,661839,787849,606920,1105909,985167,2091076,168160,4031167,332726,129650,662718,792368,733429,1368584,1423595,2792179,226953,6007573,489671
2018-19,14,Nov-18,National,All,NA,NA,NA,126343,648814,775157,603178,1097167,966594,2063761,162289,3987062,322229,130247,649758,780005,725496,1335723,1377655,2713378,214821,5870054,469448
2018-19,14,Dec-18,National,All,NA,NA,NA,104502,536615,641117,597842,871384,782909,1654293,138061,3150469,265552,108016,537386,645402,718991,1058078,1112420,2170498,181440,4652289,386614
2018-19,14,Jan-19,National,All,NA,NA,NA,110814,651711,762525,620261,1061889,969586,2031475,163637,4008261,331251,114505,653188,767693,742339,1301587,1384171,2685758,216726,5903433,480568
